,id,region,price,year,manufacturer,model,fuel,odometer,transmission,size,type,state
228,7316384231,birmingham,5500,1978,ford,f-150,gas,239000,automatic,full-size,truck,al
244,7316198338,birmingham,0,2017,chevrolet,silverado 2500hd 4x4,diesel,102000,automatic,full-size,truck,al
245,7316187372,birmingham,5500,1974,mercedes-benz,1929 ssk replica,gas,9999,automatic,mid-size,convertible,al
246,7316170760,birmingham,3500,1996,chevrolet,tahoe,gas,237000,automatic,full-size,offroad,al
258,7316080522,birmingham,0,2015,mercedes-benz,s-class,gas,78807,automatic,full-size,sedan,al
260,7316031977,birmingham,45000,2017,chevrolet,silverado,gas,92000,automatic,full-size,truck,al
268,7315946365,birmingham,9000,2008,mazda,miata mx-5,gas,56700,automatic,compact,convertible,al
270,7315938243,birmingham,13500,2000,chevrolet,corvette,gas,92000,manual,mid-size,hatchback,al
271,7315932100,birmingham,19950,1955,chevrolet,bel air,gas,96867,automatic,full-size,sedan,al
304,7315683764,birmingham,29998,2014,mercedes-benz,cls,gas,57406,automatic,full-size,sedan,al
305,7315671284,birmingham,0,2018,mercedes-benz,e-class,gas,34099,automatic,mid-size,sedan,al
311,7315547296,birmingham,0,2017,ford,expedition el,gas,82254,automatic,full-size,SUV,al
329,7315387122,birmingham,19500,2008,ram,3500,diesel,161000,manual,full-size,truck,al
332,7315377651,birmingham,15000,2009,toyota,tacoma 4x4,gas,213800,automatic,mid-size,truck,al
337,7315354216,birmingham,8950,2011,ford,f-150,gas,164000,automatic,full-size,truck,al
338,7315349921,birmingham,4000,1972,mercedes-benz,benz,gas,88100,automatic,full-size,coupe,al
339,7315345469,birmingham,50000,2019,toyota,tundra,gas,20010,automatic,full-size,truck,al
342,7315294251,birmingham,1200,2005,chevrolet,impala,gas,256806,automatic,mid-size,sedan,al
343,7315329101,birmingham,8888,2005,nissan,altima 3.5 sl,gas,53320,automatic,mid-size,sedan,al
346,7315259946,birmingham,98900,2001,ferrari,360 modena,gas,20187,automatic,mid-size,convertible,al
351,7315177514,birmingham,16500,2011,ford,f250 super duty,gas,201766,automatic,full-size,truck,al
355,7315110575,birmingham,9400,2008,mercedes-benz,benz c350,gas,129473,automatic,full-size,sedan,al
357,7315094967,birmingham,7900,2013,nissan,pathfinder,gas,152400,automatic,mid-size,SUV,al
362,7314988246,birmingham,0,2017,chevrolet,silverado 2500 z71 4x4,diesel,102000,automatic,full-size,truck,al
363,7314972947,birmingham,0,2016,ram,3500 laramie 4x4,diesel,120000,automatic,full-size,truck,al
364,7314967754,birmingham,7300,2007,lexus,rx350,gas,181000,automatic,mid-size,SUV,al
365,7314956487,birmingham,72900,2021,chevrolet,tahoe,gas,19129,automatic,full-size,SUV,al
366,7314956410,birmingham,28900,2017,audi,q7,gas,94601,automatic,full-size,SUV,al
367,7314956329,birmingham,17000,2019,chevrolet,trax,gas,14898,automatic,full-size,SUV,al
370,7314938392,birmingham,5950,2007,mitsubishi,eclipse,gas,72000,manual,compact,hatchback,al
373,7314893113,birmingham,8900,2013,toyota,prius,hybrid,142900,automatic,mid-size,wagon,al
379,7314833347,birmingham,4000,2002,toyota,camry,gas,160000,automatic,full-size,sedan,al
381,7314847158,birmingham,10800,2013,toyota,camry,hybrid,147000,automatic,mid-size,sedan,al
398,7314730546,birmingham,3500,1994,ford,f450,diesel,190000,manual,full-size,truck,al
400,7314708108,birmingham,0,2016,jeep,wrangler unlimited,gas,83203,automatic,mid-size,SUV,al
409,7314656633,birmingham,16000,2016,dodge,charger,gas,62000,automatic,full-size,sedan,al
410,7314654378,birmingham,1500,2005,toyota,solara,gas,222100,automatic,full-size,sedan,al
413,7314592793,birmingham,40000,2017,chevrolet,tahoe,gas,68000,automatic,full-size,SUV,al
415,7314589649,birmingham,10500,2008,infiniti,ex35,gas,122904,automatic,full-size,wagon,al
416,7314584193,birmingham,9500,2014,toyota,prius v hybrid,gas,136128,automatic,mid-size,hatchback,al
417,7314583885,birmingham,12900,2014,nissan,rogue sv,gas,120211,automatic,full-size,SUV,al
419,7314565277,birmingham,3200,2006,chevrolet,trailblazer,gas,178762,automatic,full-size,SUV,al
432,7314334186,birmingham,6950,2011,volkswagen,jetta,gas,116000,automatic,full-size,sedan,al
436,7314312719,birmingham,8995,2005,nissan,altima 3.5 sl,gas,53320,automatic,mid-size,sedan,al
439,7314293077,birmingham,48900,2018,chevrolet,silverado 2500 hd ltz,diesel,43034,automatic,full-size,truck,al
440,7314278078,birmingham,9988,2014,kia,sorento lx,gas,121259,automatic,compact,SUV,al
441,7314277945,birmingham,24888,2019,ford,f150 regular cab xl,gas,8176,automatic,full-size,pickup,al
445,7314276424,birmingham,16888,2008,toyota,fj cruiser 4x4,gas,188096,automatic,mid-size,SUV,al
446,7314276144,birmingham,19888,2015,mercedes-benz,benz ml 450,gas,111261,automatic,full-size,SUV,al
447,7314275948,birmingham,31888,2015,gmc,1500 yukon slt,gas,109947,automatic,full-size,SUV,al
479,7313897256,birmingham,29950,2014,gmc,sierra 1500,gas,139029,automatic,full-size,truck,al
482,7313896811,birmingham,45950,2014,gmc,sierra 2500hd denali,diesel,154289,automatic,full-size,truck,al
484,7313889508,birmingham,11500,2008,ford,f-250 super duty xl,diesel,283356,automatic,full-size,pickup,al
491,7313856690,birmingham,14700,2015,honda,cr-v ex-l,gas,70672,automatic,compact,SUV,al
495,7313806066,birmingham,2450,2000,infiniti,qx4,gas,246653,automatic,full-size,SUV,al
530,7313703595,birmingham,3500,1995,honda,civic del sol si,gas,215000,manual,compact,convertible,al
535,7313663160,birmingham,45300,2018,ram,3500 big horn,diesel,34125,automatic,full-size,truck,al
539,7313599275,birmingham,17500,2001,ram,3500,diesel,178000,manual,full-size,truck,al
540,7313594854,birmingham,5500,2010,hyundai,accent,gas,114988,automatic,mid-size,hatchback,al
542,7313588835,birmingham,6900,2008,ford,escape hev,hybrid,103550,automatic,mid-size,SUV,al
543,7313588556,birmingham,10900,2010,honda,accord crosstour exl,gas,97804,automatic,full-size,wagon,al
544,7313588273,birmingham,8900,2014,fiat,500l lounge,gas,84778,automatic,mid-size,hatchback,al
562,7313478091,birmingham,27990,2014,ram,2500 4x4,diesel,2222222,automatic,full-size,truck,al
564,7313467803,birmingham,8500,2004,bmw,z4,gas,116014,automatic,sub-compact,other,al
565,7313464524,birmingham,0,2017,dodge,challenger rt plus,gas,39000,automatic,mid-size,coupe,al
570,7313419020,birmingham,19888,2015,mercedes-benz,benz ml 450,gas,111261,automatic,full-size,SUV,al
571,7313418727,birmingham,31888,2015,gmc,1500 yukon slt,gas,109947,automatic,full-size,SUV,al
573,7313376590,birmingham,23888,2014,ram,1500 express,diesel,110789,automatic,full-size,pickup,al
576,7313346134,birmingham,3500,2008,acura,tl,gas,242000,automatic,mid-size,sedan,al
580,7313285659,birmingham,16888,2008,toyota,fj cruiser 4x4,gas,188096,automatic,mid-size,SUV,al
585,7313272909,birmingham,27900,2014,chevrolet,silverado 3500hd,diesel,170525,automatic,full-size,truck,al
590,7313253350,birmingham,7500,2012,chevrolet,silverado,gas,212000,automatic,full-size,truck,al
593,7313219085,birmingham,9500,2013,hyundai,sonata,gas,125000,automatic,mid-size,sedan,al
595,7313210657,birmingham,19900,2011,cadillac,escalade,gas,133257,automatic,full-size,SUV,al
606,7313029336,birmingham,34900,2020,nissan,pathfinder,gas,15400,automatic,full-size,SUV,al
611,7312912319,birmingham,6900,2001,jeep,cherokee sport,gas,144445,automatic,full-size,SUV,al
614,7312879695,birmingham,26990,2008,ram,2500 mega cab 4x4,diesel,172000,automatic,full-size,truck,al
615,7312878239,birmingham,0,2014,ram,2500 slt 4x4,diesel,1111111,automatic,full-size,truck,al
616,7312876423,birmingham,17990,2018,ford,edge sel,gas,1111111,automatic,mid-size,SUV,al
617,7312874716,birmingham,11990,2011,audi,a3 tdi premium plus,diesel,70000,automatic,mid-size,sedan,al
618,7312873290,birmingham,0,2018,chevrolet,silverado 3500 ltz 4x4,diesel,1111111,automatic,full-size,truck,al
619,7312872103,birmingham,0,2017,ford,f150 lariat fx4 4x4,gas,88000,automatic,full-size,truck,al
620,7312861500,birmingham,0,2007,chevrolet,silverado 2500 hd 4x4,diesel,128000,automatic,full-size,truck,al
621,7312857247,birmingham,0,2012,ram,3500 slt,diesel,1111111,automatic,full-size,truck,al
623,7312851497,birmingham,0,2014,ford,f150 4x4 xlt,gas,80000,automatic,full-size,truck,al
625,7312843757,birmingham,0,2014,ram,1500laramie 4x4,gas,1111111,automatic,full-size,truck,al
629,7312807755,birmingham,16888,2008,toyota,fj cruiser 4x4,gas,188096,automatic,mid-size,SUV,al
633,7312791381,birmingham,0,2016,chevrolet,silverado z71 4x4,gas,128000,automatic,full-size,truck,al
634,7312786220,birmingham,0,2012,chevrolet,silverado z71 4x4 lt,gas,150000,automatic,full-size,truck,al
635,7312779535,birmingham,0,2018,toyota,4runner sr5premium 4x4,gas,44000,automatic,mid-size,SUV,al
637,7312776311,birmingham,0,2018,chevrolet,silverado 3500 ltz 4x4,diesel,140000,automatic,full-size,truck,al
644,7312625760,birmingham,8700,1979,lincoln,town car,gas,22964,automatic,full-size,sedan,al
647,7312578462,birmingham,8500,2011,toyota,camry,gas,114500,automatic,full-size,sedan,al
651,7312514213,birmingham,8950,2011,ford,f-150,gas,164000,automatic,full-size,truck,al
667,7312360257,birmingham,32500,2014,chevrolet,ss sedan,gas,80000,automatic,full-size,sedan,al
671,7312317138,birmingham,6200,1984,gmc,sierra,gas,51000,manual,full-size,truck,al
672,7312311372,birmingham,5999,2013,mazda,sx4 se,gas,91000,automatic,compact,sedan,al
679,7312203221,birmingham,21998,2009,chevrolet,suburban,gas,92518,automatic,full-size,SUV,al
683,7312146497,birmingham,4500,2005,toyota,camry xle,gas,170000,automatic,full-size,sedan,al
716,7311831354,birmingham,31888,2015,gmc,1500 yukon slt,gas,109947,automatic,full-size,SUV,al
717,7311831162,birmingham,19888,2015,mercedes-benz,benz ml 450,gas,111261,automatic,full-size,SUV,al
718,7311830732,birmingham,24888,2019,ford,f150 regular cab xl,gas,8176,automatic,full-size,pickup,al
719,7311830338,birmingham,9988,2014,kia,sorento lx,gas,121259,automatic,compact,SUV,al
725,7311818155,birmingham,12999,2014,dodge,charger,gas,137000,automatic,full-size,sedan,al
734,7311701063,birmingham,37900,2020,chevrolet,silverado 1500,gas,5622,automatic,full-size,truck,al
735,7311701072,birmingham,31900,2019,ford,transit,gas,29497,automatic,mid-size,van,al
736,7311701076,birmingham,11500,2013,chevrolet,express,gas,228699,automatic,full-size,van,al
737,7311701079,birmingham,32900,2019,ford,transit,gas,6735,automatic,full-size,van,al
738,7311701059,birmingham,31500,2019,gmc,savana,gas,24585,automatic,full-size,van,al
739,7311701051,birmingham,29900,2019,ford,f-150,gas,23004,automatic,full-size,truck,al
740,7311701056,birmingham,9500,2014,ford,transit connect,gas,219581,automatic,full-size,van,al
741,7311700844,birmingham,17200,2014,ford,transit connect,gas,45026,automatic,full-size,van,al
742,7311700838,birmingham,23900,2017,ford,transit 150,gas,108482,automatic,full-size,van,al
743,7311700841,birmingham,22300,2017,ford,transit 150,gas,113617,automatic,full-size,van,al
746,7311682760,birmingham,37500,2020,infiniti,qx 50 luxe,gas,4230,manual,full-size,SUV,al
760,7311571406,birmingham,0,2015,gmc,yukon denali 4x4,gas,79000,automatic,full-size,SUV,al
762,7311557055,birmingham,0,2016,ram,3500 laramie 4x4,diesel,128377,automatic,full-size,truck,al
765,7311533486,birmingham,0,2007,chevrolet,silverado 2500 lt 4x4,diesel,120000,automatic,full-size,truck,al
766,7311531087,birmingham,0,2016,ram,3500 laramie 4x4,diesel,160000,automatic,full-size,truck,al
768,7311505593,birmingham,1800,2007,nissan,pathfinder,gas,147000,automatic,mid-size,SUV,al
779,7311421846,birmingham,6900,2010,mazda,3i,gas,165255,automatic,mid-size,sedan,al
780,7311417807,birmingham,8500,2008,jeep,commander sport,gas,198000,automatic,full-size,SUV,al
781,7311411301,birmingham,16900,2015,ram,1500 slt,gas,97563,automatic,full-size,pickup,al
783,7311390113,birmingham,24990,2007,ford,super duty f-450 drw,gas,46463,automatic,full-size,truck,al
784,7311389760,birmingham,33990,2016,chevrolet,express commercial cutaway,gas,12398,automatic,full-size,truck,al
786,7311389371,birmingham,20990,2006,chevrolet,express cargo van,diesel,134296,automatic,full-size,truck,al
788,7311388578,birmingham,27990,2008,ford,econoline cargo van,gas,83459,automatic,full-size,truck,al
790,7311387863,birmingham,33990,2014,ford,super duty f-550 drw,diesel,136250,automatic,full-size,truck,al
791,7311387508,birmingham,22990,2010,ford,econoline commercial cutaway,gas,121911,automatic,full-size,truck,al
792,7311387137,birmingham,24990,2017,gmc,savana commercial cutaway,gas,136965,automatic,full-size,truck,al
793,7311386812,birmingham,24990,2009,chevrolet,3500 lcf gas,gas,72789,automatic,full-size,truck,al
795,7311386071,birmingham,25990,2006,chevrolet,express cargo van,gas,73360,automatic,full-size,truck,al
797,7311385335,birmingham,29990,2011,ford,super duty f-450 drw,diesel,137481,automatic,full-size,truck,al
800,7311384822,birmingham,33990,2007,chevrolet,cc4500,gas,77581,automatic,full-size,truck,al
801,7311384826,birmingham,21990,2005,ford,econoline commercial cutaway,gas,45554,automatic,full-size,truck,al
803,7311384869,birmingham,49990,2015,ford,super duty f-550 drw,diesel,152701,automatic,full-size,truck,al
804,7311384791,birmingham,26990,1998,mitsubishi,fuso fh211,diesel,166302,manual,full-size,truck,al
808,7311384526,birmingham,26990,2016,chevrolet,express commercial cutaway,gas,75734,automatic,full-size,truck,al
809,7311384137,birmingham,27490,2006,mitsubishi,fuso fe145,diesel,96626,automatic,full-size,truck,al
811,7311383554,birmingham,28490,2008,mitsubishi,fuso fe145,diesel,70643,automatic,full-size,truck,al
812,7311383535,birmingham,33990,2012,ford,super duty f-250 srw,diesel,49678,automatic,full-size,truck,al
816,7311383445,birmingham,46990,2016,ram,4500,diesel,17619,automatic,full-size,truck,al
818,7311383423,birmingham,44990,2012,ford,super duty f-550 drw,diesel,52307,automatic,full-size,truck,al
820,7311383408,birmingham,44990,2015,ram,5500,diesel,80733,automatic,full-size,truck,al
826,7311383322,birmingham,20990,2010,ram,2500,gas,121850,automatic,full-size,truck,al
827,7311383338,birmingham,26990,2008,chevrolet,cc4500,gas,100921,automatic,full-size,truck,al
828,7311383297,birmingham,52990,2014,ford,super duty f-550 drw,diesel,15886,automatic,full-size,truck,al
830,7311383252,birmingham,35990,2014,ford,super duty f-450 drw,gas,42213,automatic,full-size,truck,al
831,7311383209,birmingham,27990,2011,ford,f-750,diesel,123622,automatic,full-size,truck,al
835,7311381850,birmingham,27490,2006,mitsubishi,fuso fe145,diesel,96626,automatic,full-size,truck,al
839,7311381767,birmingham,33990,2014,ford,super duty f-550 drw,diesel,136250,automatic,full-size,truck,al
840,7311381723,birmingham,24990,2009,chevrolet,3500 lcf gas,gas,72789,automatic,full-size,truck,al
841,7311381694,birmingham,25990,2006,chevrolet,express cargo van,gas,73360,automatic,full-size,truck,al
842,7311381686,birmingham,24990,2017,gmc,savana commercial cutaway,gas,136965,automatic,full-size,truck,al
843,7311381687,birmingham,29990,2011,ford,super duty f-450 drw,diesel,137481,automatic,full-size,truck,al
844,7311381690,birmingham,24990,2007,ford,super duty f-450 drw,gas,46463,automatic,full-size,truck,al
845,7311381692,birmingham,22990,2010,ford,econoline commercial cutaway,gas,121911,automatic,full-size,truck,al
846,7311381659,birmingham,20990,2006,chevrolet,express cargo van,diesel,134296,automatic,full-size,truck,al
847,7311381664,birmingham,33990,2016,chevrolet,express commercial cutaway,gas,12398,automatic,full-size,truck,al
851,7311381454,birmingham,26990,2016,chevrolet,express commercial cutaway,gas,75734,automatic,full-size,truck,al
853,7311381424,birmingham,27990,2008,ford,econoline cargo van,gas,83459,automatic,full-size,truck,al
855,7311380317,birmingham,14990,2012,ford,econoline,gas,67820,automatic,full-size,truck,al
857,7311380183,birmingham,59990,2017,ford,super duty f-550 drw,diesel,31337,automatic,full-size,truck,al
858,7311380128,birmingham,31990,2006,ford,super duty f-550 drw,diesel,59429,automatic,full-size,truck,al
859,7311371151,birmingham,20888,2015,mercedes-benz,benz ml 450,gas,111261,automatic,full-size,SUV,al
860,7311367867,birmingham,31888,2015,gmc,1500 yukon slt,gas,109947,automatic,full-size,SUV,al
861,7311365259,birmingham,10888,2014,kia,sorento lx,gas,121259,automatic,compact,SUV,al
862,7311360610,birmingham,26900,2019,ford,f150 regular cab xl,gas,8176,automatic,full-size,pickup,al
865,7311346662,birmingham,40888,2020,jeep,gladiator,gas,27955,automatic,mid-size,SUV,al
866,7311345301,birmingham,14995,2007,jeep,wrangler unlimited sahara,gas,163169,automatic,mid-size,SUV,al
871,7311319201,birmingham,21500,2013,jeep,wrangler,gas,78270,manual,mid-size,convertible,al
883,7311184072,birmingham,4000,2014,chevrolet,sonic lt,gas,135000,manual,compact,sedan,al
884,7311166779,birmingham,8500,2015,nissan,altima 2.5 s,gas,100000,automatic,full-size,sedan,al
888,7311111854,birmingham,2595,2003,ford,f-150,gas,149055,automatic,full-size,pickup,al
897,7311042920,birmingham,40888,2020,jeep,gladiator,gas,27955,automatic,mid-size,SUV,al
899,7311033661,birmingham,14888,2007,jeep,wrangler unlimited sahara,gas,163169,automatic,mid-size,SUV,al
914,7310890361,birmingham,6950,1998,ford,f150 xlt,gas,206000,automatic,full-size,truck,al
926,7310754731,birmingham,2700,2004,nissan,maxima,gas,200000,automatic,full-size,sedan,al
929,7310691206,birmingham,20000,2010,toyota,4runner limited,gas,113750,automatic,mid-size,SUV,al
932,7310629921,birmingham,2900,1999,lexus,gs400,gas,378000,automatic,full-size,sedan,al
945,7310511908,birmingham,10750,2006,toyota,tacoma,gas,223160,automatic,mid-size,pickup,al
962,7310358587,birmingham,21790,2016,chevrolet,silverado 1500 lt,gas,100662,automatic,full-size,pickup,al
966,7310297272,birmingham,2700,2004,nissan,maxima,gas,200000,automatic,full-size,sedan,al
977,7310034215,birmingham,18990,2010,ford,econoline cargo van,gas,32988,automatic,mid-size,van,al
981,7309953468,birmingham,15900,2017,nissan,frontier sv,gas,28650,automatic,full-size,truck,al
982,7309953039,birmingham,13900,2013,honda,cr-v lx,gas,86933,automatic,full-size,SUV,al
983,7309951979,birmingham,9800,2008,mazda,cx-9 touring,gas,138266,automatic,full-size,SUV,al
984,7309951024,birmingham,7000,2004,jaguar,xjr s,gas,135185,automatic,full-size,sedan,al
997,7309840433,birmingham,11500,2011,bmw,328i,gas,126000,automatic,mid-size,sedan,al
1007,7309710187,birmingham,2700,2004,nissan,maxima,gas,200000,automatic,full-size,sedan,al
1014,7309584112,birmingham,26900,1994,nissan,skyline gts,gas,59384,manual,mid-size,coupe,al
1015,7309581202,birmingham,8500,2008,lexus,es350,gas,155374,automatic,full-size,sedan,al
1022,7309490465,birmingham,0,1992,toyota,land cruiser prado,diesel,160000,automatic,full-size,SUV,al
1033,7309344531,birmingham,5500,1988,mercedes-benz,560,diesel,177607,manual,mid-size,convertible,al
1053,7309241789,birmingham,11700,2000,ford,f-350,diesel,274000,manual,full-size,truck,al
1062,7309140128,birmingham,8950,2011,ford,f-150,gas,164000,automatic,full-size,truck,al
1065,7309048982,birmingham,18500,2009,jeep,wrangler unlimited x,gas,76641,automatic,mid-size,SUV,al
1069,7308973381,birmingham,300,1999,saturn,sl,gas,265000,automatic,mid-size,sedan,al
1080,7308844860,birmingham,11700,2007,chevrolet,silverado classic,gas,155000,automatic,full-size,pickup,al
1093,7308728202,birmingham,6895,1995,gmc,sonoma,gas,186500,automatic,mid-size,pickup,al
1095,7308717036,birmingham,14141,2017,ram,promaster city cargo van,gas,102386,automatic,full-size,van,al
1096,7308711653,birmingham,18777,2016,volvo,s60 inscription platinum,gas,38561,automatic,mid-size,sedan,al
1097,7308708711,birmingham,5600,2013,dodge,dart,gas,88000,manual,compact,sedan,al
1105,7308630105,birmingham,6500,2003,chevrolet,tahoe z71,gas,245700,automatic,full-size,SUV,al
1107,7308600575,birmingham,17999,2012,jeep,wrangler,gas,125000,automatic,full-size,offroad,al
1112,7308507172,birmingham,20900,2016,toyota,avalon,gas,100318,automatic,full-size,sedan,al
1115,7308485634,birmingham,35000,1978,toyota,land cruiser,gas,1000000,manual,full-size,SUV,al
1119,7308450063,birmingham,28500,2019,gmc,acadia,gas,43961,automatic,full-size,SUV,al
1120,7308449579,birmingham,23900,2017,jeep,grand cherokee,gas,50543,automatic,full-size,SUV,al
1151,7308062041,birmingham,9000,1976,alfa-romeo,romeo spider,gas,88627,manual,mid-size,convertible,al
1155,7308021785,birmingham,13500,2000,jeep,wrangler sport,gas,149980,automatic,full-size,SUV,al
1157,7307965551,birmingham,19500,2013,infiniti,qx 56,gas,119895,automatic,full-size,SUV,al
1159,7307946996,birmingham,2700,2005,gmc,envoy,gas,183876,automatic,full-size,SUV,al
1165,7307883318,birmingham,45950,2014,gmc,sierra 2500hd denali,diesel,154289,automatic,full-size,truck,al
1168,7307881901,birmingham,22950,2014,ford,f150 supercrew cab xlt,gas,166380,automatic,full-size,truck,al
1178,7307807029,birmingham,7991,2011,dodge,caliber mainstreet,gas,93333,automatic,mid-size,hatchback,al
1181,7307722757,birmingham,6599,2010,toyota,sienna xle,gas,174000,automatic,full-size,mini-van,al
1183,7307707165,birmingham,4000,2002,toyota,camry,gas,160000,automatic,full-size,sedan,al
1189,7307624585,birmingham,2700,2004,nissan,maxima,gas,200000,automatic,full-size,sedan,al
1190,7307623928,birmingham,2700,2004,nissan,maxima,gas,200000,automatic,full-size,sedan,al
1197,7307500655,birmingham,9800,2010,cadillac,srx luxury,gas,132815,automatic,full-size,SUV,al
1198,7307496138,birmingham,5600,2008,toyota,camry,diesel,133244,automatic,mid-size,sedan,al
1200,7307452808,birmingham,8950,2011,ford,f-150,gas,164000,automatic,full-size,truck,al
1203,7307379785,birmingham,21900,2011,chevrolet,camaro 2ss,gas,93096,automatic,full-size,convertible,al
1232,7307082685,birmingham,2700,2004,nissan,maxima,gas,200000,automatic,full-size,sedan,al
1234,7307067929,birmingham,22900,2018,nissan,frontier,gas,14570,automatic,full-size,truck,al
1235,7307067889,birmingham,30900,2015,chevrolet,silverado 1500,gas,114800,automatic,full-size,truck,al
1236,7307067844,birmingham,24900,2015,chevrolet,silverado 1500,gas,119569,automatic,full-size,truck,al
1237,7307050330,birmingham,9250,2007,gmc,yukon slt,gas,181000,automatic,full-size,SUV,al
1238,7307048623,birmingham,7950,2007,chevrolet,tahoe lt,gas,208000,automatic,full-size,SUV,al
1239,7307034122,birmingham,6800,2003,ford,f-150,gas,190000,automatic,full-size,truck,al
1240,7307029274,birmingham,11500,2012,kia,optima,gas,64000,automatic,mid-size,sedan,al
1241,7307012479,birmingham,3500,2003,honda,accord,gas,201580,automatic,full-size,sedan,al
1252,7306898100,birmingham,49990,2015,ford,super duty f-550 drw,gas,41631,automatic,full-size,truck,al
1253,7306898032,birmingham,38990,2013,chevrolet,express commercial cutaway,gas,134000,automatic,full-size,truck,al
1254,7306898020,birmingham,34990,2017,ram,2500,gas,135740,automatic,full-size,truck,al
1257,7306897812,birmingham,29990,2003,ford,super duty f-550 drw,diesel,54703,manual,full-size,truck,al
1259,7306897777,birmingham,38990,2016,mitsubishi,fuso fe180,diesel,33474,automatic,full-size,truck,al
1260,7306897760,birmingham,28990,2008,ford,super duty f-450 drw,gas,118078,automatic,full-size,truck,al
1263,7306897720,birmingham,49990,2013,ford,super duty f-550 drw,diesel,98689,automatic,full-size,truck,al
1264,7306897666,birmingham,26990,2016,ford,econoline commercial cutaway,gas,105070,automatic,full-size,truck,al
1270,7306897105,birmingham,24990,2008,ford,econoline cargo van,gas,139567,automatic,full-size,truck,al
1271,7306897106,birmingham,24990,2014,mitsubishi,fuso fe,diesel,117851,automatic,full-size,truck,al
1277,7306896752,birmingham,9990,1991,honda,acty,gas,38700,other,full-size,truck,al
1279,7306896691,birmingham,47990,2014,ford,super duty f-550 drw,diesel,39253,automatic,full-size,truck,al
1281,7306896660,birmingham,22990,2016,ford,econoline commercial cutaway,gas,181410,automatic,full-size,truck,al
1282,7306896595,birmingham,29990,2007,ford,super duty f-750 straight frame,diesel,124669,automatic,full-size,truck,al
1284,7306896408,birmingham,23990,2007,chevrolet,silverado 3500 classic,gas,32853,automatic,full-size,truck,al
1286,7306895710,birmingham,26990,2016,ford,super duty f-750 straight frame,diesel,201035,automatic,full-size,truck,al
1287,7306895658,birmingham,34990,2001,ford,super duty f-350 drw,diesel,70200,automatic,full-size,truck,al
1288,7306895647,birmingham,51990,2013,ram,5500,diesel,129633,other,full-size,truck,al
1289,7306895581,birmingham,39990,2017,ford,f-650 sd,gas,68655,automatic,full-size,truck,al
1290,7306895551,birmingham,31990,2013,ford,super duty f-250 srw,gas,101335,automatic,full-size,truck,al
1292,7306895561,birmingham,36490,2018,ford,e-series cutaway,gas,16535,automatic,full-size,truck,al
1293,7306895547,birmingham,35990,2017,mitsubishi,fuso fe160,diesel,45925,automatic,full-size,truck,al
1300,7306854164,birmingham,34500,2019,ford,transit,gas,7646,automatic,full-size,van,al
1301,7306854149,birmingham,16900,2014,ford,transit connect,gas,35173,automatic,full-size,van,al
1302,7306854137,birmingham,32700,2019,ford,transit,gas,13646,automatic,full-size,van,al
1303,7306854140,birmingham,32900,2019,ford,transit,gas,6735,automatic,full-size,van,al
